id,title,category,location,duration,price,badge,featured,special,source,description
jozani-forest,Jozani Forest e scimmie rosse,Escursioni,"Jozani, Zanzibar",Mezza giornata,Da definire,Natura,False,False,www.pilipilitravel.com / foto esperienze,Tour naturalistico nella foresta di Jozani per osservare la fauna locale e scoprire l’ambiente dell’isola.
passeggiata-cavallo,Passeggiata a cavallo sulla spiaggia,Escursioni,Zanzibar,Su richiesta,Da definire,Romantico,False,True,www.pilipilitravel.com / foto esperienze,"Prodotto emozionale perfetto per coppie, honeymoon e contenuti social."
amani-villa-zanzibar,Amani Villa Zanzibar,Strutture,Pwani Mchangani,Soggiorno flessibile,Chiedi disponibilità,Villa,True,True,pilipilitravel.com + Drive: Amani-Villa-Zanzibar,"Soggiorno tranquillo vicino all’oceano con escursioni, trasferimenti e ristorante coordinati."
bahati-villa-resort,Bahati Villa Resort,Strutture,Zanzibar,Soggiorno,Chiedi disponibilità,Resort,False,False,Drive: ZANZIBAR / Bahati Villa RESORT,"Struttura selezionata per pacchetti soggiorno, tour mare e combinati con safari."
nungwi-dreams,Nungwi Dreams by Mantis,Strutture,Nungwi,Soggiorno,Chiedi disponibilità,Hotel,False,False,Drive: ZANZIBAR / Nungwi Dreams by Mantis,"Struttura mare da inserire in pacchetti Zanzibar, safari + mare o soggiorni speciali."
sansi-kendwa,Sansi Kendwa Beach Resort,Strutture,Kendwa,Soggiorno,Chiedi disponibilità,4 stelle,False,False,Drive: ZANZIBAR / 4 STAR - SANSI KENDWA BEACH RESORT,"Resort mare per pacchetti relax, coppie, gruppi e combinati con safari."
sansi-kae,Sansi Kae Beach Resort & Spa,Strutture,Zanzibar,Soggiorno,Chiedi disponibilità,5 stelle,False,True,Drive: ZANZIBAR / 5 STAR - SANSI KAE BEACH RESORT AND SPA ZANZIBAR,Resort e spa vendibile come soggiorno premium o upgrade in combinato mare+safari.
blu-marlin-village,Blu Marlin Village Zanzibar,Strutture,Zanzibar,Soggiorno,Chiedi disponibilità,Beach resort,False,False,Drive: ZANZIBAR / Blu Marlin village Zanzibar,"Prodotto struttura per clienti che cercano mare, semplicità e pacchetti pronti."
mvuvi-resort,Mvuvi Boutique Resort,Strutture,Zanzibar,Soggiorno,Chiedi disponibilità,Boutique,False,False,Drive: ZANZIBAR / Mvuvi Boutique Resort,Boutique resort per viaggiatori che desiderano un soggiorno più raccolto e curato.
zanzibar-pearl,Zanzibar Pearl Boutique Hotel & Villas,Strutture,Zanzibar,Soggiorno,Chiedi disponibilità,Boutique villas,False,False,Drive: ZANZIBAR / Zanzibar Pearl Boutique Hotel & Villas,Hotel e ville boutique da proporre in pacchetti mare personalizzati.
sharazad-group,Sharazad Group,Strutture,Zanzibar,Soggiorno,Chiedi disponibilità,Partner,False,False,Drive: ZANZIBAR / Sharazad group,Struttura partner per pacchetti soggiorno e richieste su misura.
villa-dida,Villa Dida Hotel Zanzibar,Strutture,Zanzibar,Soggiorno,Chiedi disponibilità,Hotel,False,False,Drive: ZANZIBAR / Villa Dida hotel Zanzibar,Hotel da inserire nel catalogo disponibilità per clienti e agenzie.
tao-hotel-spa,TAO Hotel & Spa Zanzibar,Strutture,Zanzibar,Soggiorno,Chiedi disponibilità,Spa,False,False,Drive: ZANZIBAR / TAO HOTEL & SPA ZANZIBAR,Proposta soggiorno con focus relax e servizi wellness.
waikiki-party-night,Waikiki Party Night,Party Night,Kiwengwa,Tutta la notte,Da definire,Nightlife,True,True,www.wwwpilipilitravel.com / Special Party Night,"Serata speciale a Kiwengwa, ideale come add-on per gruppi, giovani e pacchetti experience."
full-moon-party,Full Moon Party,Party Night,Kendwa Beach,Serata,Da definire,Kendwa,True,True,www.wwwpilipilitravel.com / Special Party Night,Kendwa Beach Party vendibile come esperienza speciale e prodotto ad alto impatto commerciale.
cocco-bello-club,Cocco Bello Club,Party Night,Nungwi,Mercoledì & Domenica,Da definire,Club,False,True,www.wwwpilipilitravel.com / Special Party Night + Drive COCCO BELLO,Serata club vendibile come extra per clienti in zona Nungwi e pacchetti nightlife.
waikiki-food,Waikiki Beach Food Experience,Ristoranti,Kiwengwa,Pranzo / cena,Da definire,Food,False,True,www.wwwpilipilitravel.com / contenuti party e food,Esperienza ristorante e beach club da proporre come prodotto speciale o add-on al soggiorno.
aragoste-seafood,Seafood & Aragoste Experience,Ristoranti,Zanzibar,Pranzo / cena,Da definire,Gourmet locale,False,True,www.pilipilitravel.com / foto esperienze food,"Esperienza culinaria locale con seafood, ideale per coppie, gruppi e pacchetti romantici."
last-minute-agency,Proposte Agenzie & Last Minute,Combinati,Zanzibar / Tanzania / Kenya,Variabile,Offerta su richiesta,Agenzie,True,True,www.wwwpilipilitravel.com / Proposte delle nostre agenzie,"Area commerciale per caricare offerte last minute, prodotti in vetrina e proposte dedicate alle agenzie partner."
